DATE,MEHOINUSNMA646N
1984-01-01,20630
1985-01-01,20420
1986-01-01,19850
1987-01-01,20760
1988-01-01,19300
1989-01-01,22600
1990-01-01,25040
1991-01-01,26540
1992-01-01,25860
1993-01-01,26760
1994-01-01,26910
1995-01-01,25990
1996-01-01,25090
1997-01-01,30090
1998-01-01,31540
1999-01-01,32570
2000-01-01,35090
2001-01-01,33120
2002-01-01,35460
2003-01-01,35110
2004-01-01,39560
2005-01-01,38950
2006-01-01,40030
2007-01-01,44360
2008-01-01,42100
2009-01-01,43540
2010-01-01,45130
2011-01-01,41980
2012-01-01,43420
2013-01-01,40170
2014-01-01,46690
2015-01-01,45120
2016-01-01,48450
2017-01-01,45600
2018-01-01,48280
2019-01-01,53110
2020-01-01,50910
2021-01-01,53460
2022-01-01,56420
