DATE,MEHOINUSNVA646N
1984-01-01,25780
1985-01-01,23270
1986-01-01,26220
1987-01-01,26880
1988-01-01,27980
1989-01-01,29340
1990-01-01,32020
1991-01-01,32940
1992-01-01,31910
1993-01-01,35810
1994-01-01,35870
1995-01-01,36080
1996-01-01,38540
1997-01-01,38850
1998-01-01,39760
1999-01-01,41460
2000-01-01,45760
2001-01-01,45400
2002-01-01,44960
2003-01-01,45180
2004-01-01,47200
2005-01-01,48210
2006-01-01,52280
2007-01-01,54060
2008-01-01,54740
2009-01-01,51430
2010-01-01,51200
2011-01-01,47040
2012-01-01,47330
2013-01-01,51850
2014-01-01,49880
2015-01-01,52010
2016-01-01,55430
2017-01-01,58040
2018-01-01,61860
2019-01-01,70910
2020-01-01,61160
2021-01-01,64340
2022-01-01,72330
