DATE,MEHOINUSNYA646N
1984-01-01,22030
1985-01-01,23640
1986-01-01,25030
1987-01-01,26380
1988-01-01,28920
1989-01-01,31500
1990-01-01,31590
1991-01-01,31790
1992-01-01,31050
1993-01-01,31700
1994-01-01,31900
1995-01-01,33030
1996-01-01,35410
1997-01-01,35800
1998-01-01,37390
1999-01-01,39990
2000-01-01,40740
2001-01-01,42110
2002-01-01,41970
2003-01-01,42790
2004-01-01,44650
2005-01-01,47180
2006-01-01,48220
2007-01-01,48940
2008-01-01,50460
2009-01-01,50220
2010-01-01,49780
2011-01-01,50640
2012-01-01,47680
2013-01-01,49970
2014-01-01,54310
2015-01-01,58010
2016-01-01,61440
2017-01-01,61540
2018-01-01,67270
2019-01-01,71860
2020-01-01,68660
2021-01-01,72920
2022-01-01,75910
