DATE,MEHOINUSOKA646N
1984-01-01,21150
1985-01-01,21210
1986-01-01,20950
1987-01-01,21690
1988-01-01,23670
1989-01-01,23670
1990-01-01,24380
1991-01-01,25460
1992-01-01,25280
1993-01-01,26260
1994-01-01,26990
1995-01-01,26310
1996-01-01,27440
1997-01-01,31350
1998-01-01,33730
1999-01-01,32680
2000-01-01,32430
2001-01-01,35610
2002-01-01,36460
2003-01-01,35900
2004-01-01,39610
2005-01-01,37650
2006-01-01,38840
2007-01-01,43220
2008-01-01,46110
2009-01-01,45880
2010-01-01,43100
2011-01-01,48460
2012-01-01,48410
2013-01-01,46160
2014-01-01,47200
2015-01-01,47080
2016-01-01,50940
2017-01-01,51880
2018-01-01,54430
2019-01-01,59400
2020-01-01,52470
2021-01-01,60100
2022-01-01,63440
