DATE,MEHOINUSORA646N
1984-01-01,21400
1985-01-01,21890
1986-01-01,24770
1987-01-01,25040
1988-01-01,27750
1989-01-01,28530
1990-01-01,29280
1991-01-01,30190
1992-01-01,31930
1993-01-01,33140
1994-01-01,31460
1995-01-01,36370
1996-01-01,35490
1997-01-01,37250
1998-01-01,39070
1999-01-01,40620
2000-01-01,42500
2001-01-01,41270
2002-01-01,41800
2003-01-01,41640
2004-01-01,40990
2005-01-01,44160
2006-01-01,47090
2007-01-01,50240
2008-01-01,51730
2009-01-01,49100
2010-01-01,50600
2011-01-01,51530
2012-01-01,51780
2013-01-01,49000
2014-01-01,58880
2015-01-01,60830
2016-01-01,59140
2017-01-01,62500
2018-01-01,69170
2019-01-01,74410
2020-01-01,76860
2021-01-01,81860
2022-01-01,86780
