DATE,MEHOINUSPAA646N
1984-01-01,20350
1985-01-01,22880
1986-01-01,23810
1987-01-01,25420
1988-01-01,26740
1989-01-01,28690
1990-01-01,29010
1991-01-01,30370
1992-01-01,29880
1993-01-01,31000
1994-01-01,32070
1995-01-01,34520
1996-01-01,34900
1997-01-01,37520
1998-01-01,39020
1999-01-01,37760
2000-01-01,42180
2001-01-01,43500
2002-01-01,42500
2003-01-01,42930
2004-01-01,44110
2005-01-01,46300
2006-01-01,48480
2007-01-01,48440
2008-01-01,51400
2009-01-01,48170
2010-01-01,48310
2011-01-01,49910
2012-01-01,51900
2013-01-01,55160
2014-01-01,55170
2015-01-01,60390
2016-01-01,60980
2017-01-01,61290
2018-01-01,64520
2019-01-01,70580
2020-01-01,70790
2021-01-01,72630
2022-01-01,72210
