DATE,MEHOINUSRIA646N
1984-01-01,21610
1985-01-01,24630
1986-01-01,26540
1987-01-01,28290
1988-01-01,29840
1989-01-01,30120
1990-01-01,31970
1991-01-01,30840
1992-01-01,30430
1993-01-01,33510
1994-01-01,31930
1995-01-01,35360
1996-01-01,36990
1997-01-01,34800
1998-01-01,40690
1999-01-01,42720
2000-01-01,42200
2001-01-01,45720
2002-01-01,42420
2003-01-01,44710
2004-01-01,47940
2005-01-01,49480
2006-01-01,53740
2007-01-01,54210
2008-01-01,53240
2009-01-01,51630
2010-01-01,51620
2011-01-01,49030
2012-01-01,56070
2013-01-01,56320
2014-01-01,58630
2015-01-01,55700
2016-01-01,61530
2017-01-01,65400
2018-01-01,62270
2019-01-01,70150
2020-01-01,80180
2021-01-01,74980
2022-01-01,80650
