DATE,MEHOINUSSCA646N
1984-01-01,20310
1985-01-01,20040
1986-01-01,21970
1987-01-01,25050
1988-01-01,25530
1989-01-01,23800
1990-01-01,28740
1991-01-01,27460
1992-01-01,27580
1993-01-01,26050
1994-01-01,29850
1995-01-01,29070
1996-01-01,34670
1997-01-01,34260
1998-01-01,33270
1999-01-01,36460
2000-01-01,37570
2001-01-01,37740
2002-01-01,37810
2003-01-01,38480
2004-01-01,38690
2005-01-01,40230
2006-01-01,39620
2007-01-01,44210
2008-01-01,42160
2009-01-01,41100
2010-01-01,41700
2011-01-01,40080
2012-01-01,44400
2013-01-01,43560
2014-01-01,44930
2015-01-01,46360
2016-01-01,54340
2017-01-01,54540
2018-01-01,57440
2019-01-01,62030
2020-01-01,60340
2021-01-01,62540
2022-01-01,61770
