DATE,MEHOINUSSDA646N
1984-01-01,19410
1985-01-01,18140
1986-01-01,19900
1987-01-01,21150
1988-01-01,22290
1989-01-01,24110
1990-01-01,24570
1991-01-01,24640
1992-01-01,26260
1993-01-01,27740
1994-01-01,29730
1995-01-01,29580
1996-01-01,29530
1997-01-01,29690
1998-01-01,32790
1999-01-01,35830
2000-01-01,36480
2001-01-01,39670
2002-01-01,37870
2003-01-01,39520
2004-01-01,41110
2005-01-01,43150
2006-01-01,45430
2007-01-01,46420
2008-01-01,51600
2009-01-01,45830
2010-01-01,45350
2011-01-01,47220
2012-01-01,49420
2013-01-01,53410
2014-01-01,53050
2015-01-01,55070
2016-01-01,57450
2017-01-01,56910
2018-01-01,59460
2019-01-01,64260
2020-01-01,70190
2021-01-01,73890
2022-01-01,67180
