DATE,MEHOINUSTNA646N
1984-01-01,16780
1985-01-01,17780
1986-01-01,18260
1987-01-01,21180
1988-01-01,20860
1989-01-01,22610
1990-01-01,22590
1991-01-01,24450
1992-01-01,24320
1993-01-01,25100
1994-01-01,28640
1995-01-01,29020
1996-01-01,30790
1997-01-01,30640
1998-01-01,34090
1999-01-01,36520
2000-01-01,34100
2001-01-01,35780
2002-01-01,37030
2003-01-01,37520
2004-01-01,38070
2005-01-01,39410
2006-01-01,40690
2007-01-01,41200
2008-01-01,39700
2009-01-01,40520
2010-01-01,38590
2011-01-01,42280
2012-01-01,43000
2013-01-01,43360
2014-01-01,43720
2015-01-01,47330
2016-01-01,51340
2017-01-01,55310
2018-01-01,56060
2019-01-01,56630
2020-01-01,54980
2021-01-01,62170
2022-01-01,65380
