DATE,MEHOINUSTXA646N
1984-01-01,23020
1985-01-01,23740
1986-01-01,24160
1987-01-01,24720
1988-01-01,24960
1989-01-01,25890
1990-01-01,28230
1991-01-01,27730
1992-01-01,27950
1993-01-01,28730
1994-01-01,30760
1995-01-01,32040
1996-01-01,33070
1997-01-01,35080
1998-01-01,35780
1999-01-01,38690
2000-01-01,38610
2001-01-01,40860
2002-01-01,40150
2003-01-01,39270
2004-01-01,41400
2005-01-01,41420
2006-01-01,43310
2007-01-01,46050
2008-01-01,46490
2009-01-01,47480
2010-01-01,47270
2011-01-01,49050
2012-01-01,51930
2013-01-01,51410
2014-01-01,53880
2015-01-01,56470
2016-01-01,58150
2017-01-01,60090
2018-01-01,59790
2019-01-01,67440
2020-01-01,68400
2021-01-01,67400
2022-01-01,74640
