DATE,MEHOINUSUTA646N
1984-01-01,23060
1985-01-01,25240
1986-01-01,26280
1987-01-01,26530
1988-01-01,26310
1989-01-01,30720
1990-01-01,30140
1991-01-01,28020
1992-01-01,34250
1993-01-01,35790
1994-01-01,35720
1995-01-01,36480
1996-01-01,37040
1997-01-01,42780
1998-01-01,44300
1999-01-01,46050
2000-01-01,47550
2001-01-01,47340
2002-01-01,47860
2003-01-01,49280
2004-01-01,50870
2005-01-01,54810
2006-01-01,54630
2007-01-01,53530
2008-01-01,62540
2009-01-01,58490
2010-01-01,56700
2011-01-01,55490
2012-01-01,58340
2013-01-01,61050
2014-01-01,63380
2015-01-01,66260
2016-01-01,67480
2017-01-01,69790
2018-01-01,77070
2019-01-01,84520
2020-01-01,83990
2021-01-01,87650
2022-01-01,95800
