DATE,MEHOINUSVTA646N
1984-01-01,22580
1985-01-01,26000
1986-01-01,24600
1987-01-01,25420
1988-01-01,28990
1989-01-01,31300
1990-01-01,31100
1991-01-01,29160
1992-01-01,32760
1993-01-01,31070
1994-01-01,35800
1995-01-01,33820
1996-01-01,32360
1997-01-01,35050
1998-01-01,39370
1999-01-01,41580
2000-01-01,39590
2001-01-01,40790
2002-01-01,43000
2003-01-01,43260
2004-01-01,47330
2005-01-01,50700
2006-01-01,51980
2007-01-01,47390
2008-01-01,50710
2009-01-01,52320
2010-01-01,55930
2011-01-01,51860
2012-01-01,55580
2013-01-01,65510
2014-01-01,60710
2015-01-01,59490
2016-01-01,60840
2017-01-01,63680
2018-01-01,70070
2019-01-01,74310
2020-01-01,67260
2021-01-01,76080
2022-01-01,72190
