DATE,MEHOINUSWAA646N
1984-01-01,25020
1985-01-01,24000
1986-01-01,26880
1987-01-01,27320
1988-01-01,32330
1989-01-01,31960
1990-01-01,32110
1991-01-01,33970
1992-01-01,33900
1993-01-01,35660
1994-01-01,33530
1995-01-01,35570
1996-01-01,36680
1997-01-01,44560
1998-01-01,47420
1999-01-01,45470
2000-01-01,42530
2001-01-01,42490
2002-01-01,45180
2003-01-01,47510
2004-01-01,49920
2005-01-01,50650
2006-01-01,54720
2007-01-01,58080
2008-01-01,56630
2009-01-01,60390
2010-01-01,56160
2011-01-01,56850
2012-01-01,62190
2013-01-01,63920
2014-01-01,59070
2015-01-01,67240
2016-01-01,70310
2017-01-01,71540
2018-01-01,79730
2019-01-01,82450
2020-01-01,81360
2021-01-01,87650
2022-01-01,89430
