DATE,MEHOINUSWVA646N
1984-01-01,16840
1985-01-01,15980
1986-01-01,16460
1987-01-01,17210
1988-01-01,19350
1989-01-01,21680
1990-01-01,22140
1991-01-01,23150
1992-01-01,20270
1993-01-01,22420
1994-01-01,23560
1995-01-01,24880
1996-01-01,25250
1997-01-01,27490
1998-01-01,26700
1999-01-01,29300
2000-01-01,29410
2001-01-01,29670
2002-01-01,29360
2003-01-01,32760
2004-01-01,33370
2005-01-01,36450
2006-01-01,38420
2007-01-01,42090
2008-01-01,37990
2009-01-01,40490
2010-01-01,42780
2011-01-01,41820
2012-01-01,43550
2013-01-01,43070
2014-01-01,39550
2015-01-01,42820
2016-01-01,44350
2017-01-01,46960
2018-01-01,50570
2019-01-01,53710
2020-01-01,51970
2021-01-01,46840
2022-01-01,52460
