DATE,MEHOINUSWYA646N
1984-01-01,23820
1985-01-01,22080
1986-01-01,23560
1987-01-01,27590
1988-01-01,26420
1989-01-01,29520
1990-01-01,29460
1991-01-01,29050
1992-01-01,30210
1993-01-01,29440
1994-01-01,33140
1995-01-01,31530
1996-01-01,30950
1997-01-01,33420
1998-01-01,35250
1999-01-01,37250
2000-01-01,39630
2001-01-01,39720
2002-01-01,39760
2003-01-01,42560
2004-01-01,45400
2005-01-01,44720
2006-01-01,47040
2007-01-01,48740
2008-01-01,53340
2009-01-01,52470
2010-01-01,52200
2011-01-01,54510
2012-01-01,57510
2013-01-01,67440
2014-01-01,55690
2015-01-01,60930
2016-01-01,57830
2017-01-01,59540
2018-01-01,62540
2019-01-01,65130
2020-01-01,65450
2021-01-01,71050
2022-01-01,73090
