State,State Abbreviation,Region,Division,Date,House Price Index,Household Income,Income Range,GDP,Population
Alabama,AL,South,East South Central,1997-01-01,187.79,31940,Low Income,105381400000,4320281
Alabama,AL,South,East South Central,1998-01-01,197.64,36270,Mid-low Income,110838800000,4351037
Alabama,AL,South,East South Central,1999-01-01,204.5,36250,Low Income,116514300000,4369862
Alabama,AL,South,East South Central,2000-01-01,208.03,35420,Low Income,120522600000,4452173
Alabama,AL,South,East South Central,2001-01-01,220.35,35160,Low Income,123534500000,4467634
Alabama,AL,South,East South Central,2002-01-01,225.78,37600,Low Income,128380900000,4480089
Alabama,AL,South,East South Central,2003-01-01,235.36,37260,Low Income,135212600000,4503491
Alabama,AL,South,East South Central,2004-01-01,242.85,36630,Low Income,148379100000,4530729
Alabama,AL,South,East South Central,2005-01-01,255.97,37150,Low Income,158677300000,4569805
Alabama,AL,South,East South Central,2006-01-01,278.43,37950,Low Income,166048200000,4628981
Alabama,AL,South,East South Central,2007-01-01,295.05,42210,Low Income,172247000000,4672840
Alabama,AL,South,East South Central,2008-01-01,304.08,44480,Low Income,174665600000,4718206
Alabama,AL,South,East South Central,2009-01-01,304.32,39980,Low Income,170876500000,4757938
Alabama,AL,South,East South Central,2010-01-01,288.78,40930,Low Income,177510700000,4785514
Alabama,AL,South,East South Central,2011-01-01,278.38,42590,Low Income,182896700000,4799642
Alabama,AL,South,East South Central,2012-01-01,276.05,43460,Low Income,188280700000,4816632
Alabama,AL,South,East South Central,2013-01-01,273.76,47320,Mid-low Income,193981500000,4831586
Alabama,AL,South,East South Central,2014-01-01,274.46,42280,Low Income,197064400000,4843737
Alabama,AL,South,East South Central,2015-01-01,282.56,44510,Low Income,203113300000,4854803
Alabama,AL,South,East South Central,2016-01-01,287.6,47220,Low Income,208824300000,4866824
Alabama,AL,South,East South Central,2017-01-01,296.83,50870,Low Income,216615500000,4877989
Alabama,AL,South,East South Central,2018-01-01,308.6,49940,Low Income,226263800000,4891628
Alabama,AL,South,East South Central,2019-01-01,322.64,56200,Low Income,234526400000,4907965
Alabama,AL,South,East South Central,2020-01-01,339.69,54690,Low Income,235118300000,5031864
Alabama,AL,South,East South Central,2021-01-01,366.0,56930,Low Income,257986500000,5050380
Alabama,AL,South,East South Central,2022-01-01,433.72,59910,Low Income,281569000000,5073903
Alaska,AK,West,Pacific,1997-01-01,157.66,47990,High Income,25859100000,608846
Alaska,AK,West,Pacific,1998-01-01,162.08,50690,High Income,24387800000,615205
Alaska,AK,West,Pacific,1999-01-01,167.95,51400,High Income,24920400000,619500
Alaska,AK,West,Pacific,2000-01-01,171.07,52850,High Income,26934000000,627963
Alaska,AK,West,Pacific,2001-01-01,178.07,57360,High Income,28660900000,633714
Alaska,AK,West,Pacific,2002-01-01,187.45,52770,High Income,29884500000,642337
Alaska,AK,West,Pacific,2003-01-01,194.98,51840,High Income,32115800000,648414
Alaska,AK,West,Pacific,2004-01-01,211.72,55060,High Income,35389500000,659286
Alaska,AK,West,Pacific,2005-01-01,235.99,55890,High Income,40459900000,666946
Alaska,AK,West,Pacific,2006-01-01,265.84,56420,High Income,44951700000,675302
Alaska,AK,West,Pacific,2007-01-01,282.78,62990,High Income,49456400000,680300
Alaska,AK,West,Pacific,2008-01-01,283.85,63990,High Income,55246700000,687455
Alaska,AK,West,Pacific,2009-01-01,284.05,61600,High Income,50165900000,698895
Alaska,AK,West,Pacific,2010-01-01,277.19,57850,High Income,53654000000,713982
Alaska,AK,West,Pacific,2011-01-01,281.7,57430,High Income,56912300000,722349
Alaska,AK,West,Pacific,2012-01-01,282.34,63650,High Income,58320700000,730810
Alaska,AK,West,Pacific,2013-01-01,289.97,72470,High Income,57533000000,737626
Alaska,AK,West,Pacific,2014-01-01,291.91,67630,High Income,56587400000,737075
